tender_ref,tender_description,tender_category,advertised_date,closing_date,industry,tender_requested_by_dept,tender_type,province,service_location,special_conditions,contact_person,contact_email,contact_telephone,attachments,attachment_download_url,created_time,briefing_session,briefing_compulsory,briefing_date_time,briefing_venue,trial_data,tender_review_summary,id,created_at
DFFEQ 255 CLEANING MATERIAL 2025,SUPPLY AND DELIVER CLEANING MATERIAL,,45960,45968,CLEANING,,RFQ,Western Cape,"24 East Pier Road, Victoria & Alfred Waterfront, Cape Town , 8001 - V & A WATERFRONT - Cape Town - 8001",,Andiswa Euphimia Charlie,acharlie@dffe.gov.za,021-493-7149,,,2025-10-30 12:16:00.657+00,0,0,,,,,007857b7-db1f-41aa-b3a0-5cb5cf76d0b2,2025-10-30 12:16:01.820305+00
74312,"Re-advertisement: Appointment of a multi-disciplinary team (Architect as Principal Agent, Quantity Surveyor, Civil / Structural Engineer, Electrical Engineer, Mechanical and Fire Engineer) to provide Professional Services for the Refurbishment, Repairs and Alterations to Nurses’ Accommodation at RK Khan Hospital.",,45936,45964,CONSTRUCTION,,RFQ,KwaZulu-Natal,R K Khan Hospital - Durban - Durban - 4001,"Compulsory Briefing session Date : 16 October 2025 Time : 11h00 Venue : MS Teams (online) Meeting ID : 365 818 402 252 5 Passcode : fe6zx9kp Meeting link : https://teams.microsoft.com/l/meetup-join/19%3ameeting_MDM1MTU5M2UtZmE2OS00NTZjLWFjMGMtYjQzMWViNDQ0MzJl%40thread.v2/0?context=%7b%22Tid%22%3a%229a833c6f-eba4-468f-be72-dcf3d89967e8%22%2c%22Oid%22%3a%22d74f21f3-4645-4cb9-9458-dd1d511f3c0e%22%7d All attendees to submit (1) Tenderer’s Business Name, (2) the Representatives Name, (3) a Contact number and (4) Email address, via the MS Teams chat upon entry as confirmation of attendance. Online register to serve as proof of attendance.",Ms S Mahabeer,shehana.mahabeer@kznworks.gov.za,072-261-4210,,,2025-10-06 12:22:14.589+00,1,1,2025-10-16 11:00:00+00,Teams-365 818 402 252 5 Passcode : fe6zx9kp,,,00b9d4e2-95fe-4beb-8230-3e41c2e93391,2025-10-06 12:22:15.444739+00
RFT84/10/2025/26,"APPOINTMENT OF A SERVICE PROVIDER TO SUPPLY, INSTALL, MONITOR AND MAINTAIN CCTV CAMERAS AND BIOMETRIC ACCESS CONTROL SYSTEM AT MADIBENG LOCAL MUNICIPALITY FOR A PERIOD OF 36 MONTHS.",,45947,45978,SECURITY,,RFQ,North West,53 Van Velden - Brits - Brits - 0250,"Tender documents are obtainable at Municipal Offices (Brits) at a cost of R3000.00 per document on a non-refundable deposit in cash. EFT; Cheques will not be accepted. Payment is made at the Ground floor, Main Municipal Building, 53 van Velden Street, Brits",Mr. Johannes Magoro,johannesmagoro@madibeng.gov.za,012-493-7777,,,2025-10-17 13:16:54.592+00,0,0,,,,,00ee982f-f978-4f83-87ff-0e462fba7bcb,2025-10-17 13:16:55.833709+00
781/08/25,"SUPPLY, DELIVERY, AND ERECTION OF MUNICIPAL GRAVEYARD FENCING",,45980,45994,CONSTRUCTION,,RFQ,KwaZulu-Natal,61 MARTIN STREET uPHONGOLO LOCAL MUNICIPALITY - PONGOLA - PONGOLA - 3170,SEE DOCUMENT,MR MS MTSHALI,musawenkosim@uphongolo.gov.za,034-413-1223,,,2025-11-19 13:53:11.54+00,1,1,2025-11-25 10:00:00+00,"uPhongolo Local Municipality, Office in Pongola, 61 Martin Street, 3170",,,01544ee3-d154-44ff-ae41-a1b2c76eb079,2025-11-19 13:53:12.252102+00
RFQ 4083/24,"Request for service provider to do an assessment and quoting in Earthing refurbishment, testing and Concrete slab refurbishment, leveling at Lightning Detection Network (LDN) sites.",,45916,45933,CONSTRUCTION,,RFQ,Gauteng,"Irene Weather Office which is situated on the premises of the Agricultural Research Council (ARC), I - Irene - Pretoria - 0157",,Zandile Sebotsane,RFQsubmissions@weathersa.co.za,012-367-6000,,,2025-09-16 13:21:48.66+00,1,1,2025-09-25 11:21:00+00,South African Weather Service Irene Weather Office Situated on the grounds of the Agricultural Resea,,,01dabc94-36b4-42fc-9c30-231b5fd30ffe,2025-09-16 13:21:49.079744+00
KZNL 08/2025,APPOINTMENT OF A SERVICE PROVIDER FOR RENDERING OF SECURITY OPERATIONS CENTRE (SOC) AND MANAGED SECURITY INFORMATION AND EVENTS MANAGEMENT (SIEM) SERVICE FOR 36 MONTHS,,45922,45952,SECURITY,,RFQ,KwaZulu-Natal,244 LANGALIBALELE STREET - PIETERMARITZBURG - PIETERMARITZBURG - 3201,Tender Briefing session will be held on 06 OCTOBER 2025 at 13h00 via Microsoft teams. Interested bidders are requested to forward their email addresses and name of the company to tenders@kznleg.gov.za before or on the 03 OCTOBER 2025 at 16h30.,Mr G.N. Ngcamu,tenders@kznleg.gov.za,033-355-7548,,,2025-09-22 12:42:34.72+00,1,1,2025-10-06 13:00:00+00,MICROSOFT TEAMS,,,0279fbfb-b1d6-4653-95a6-f4794123e509,2025-09-22 12:42:35.402471+00
SRVM-EOI-01/2026,"NOTICE FOR INVITING EXPRESSION OF INTEREST TO OPERATE, MANAGE AND COORDINATING EVENTS AT THE KIRKWOOD PUBLIC SWIMMING POOL FOR MEDIUM-TERM PERIOD ENDING 30 JUNE 2026",,45953,45966,CONSTRUCTION,,EOI,Eastern Cape,23 MIDDLE STREET - Kirkwood - Kirkwood - 6120,,SIBONILE SIBACA,siboniles@srvm.gov.za,042-230-7775,,,2025-10-23 13:50:20.146+00,0,0,,,,,02a25190-dd97-4936-a657-e8184c72394c,2025-10-23 13:50:20.396436+00
BID 08/25,RE-ADVERT FOR PROVISION OF SECURITY SERVICES AT FRANCES BAARD OFFICES FOR A PERIOD OF THREE (3) YEARS,,45931,45950,SECURITY,,RFQ,Northern Cape,51 Drakensberg Avenue - Carters Glen - Kimberley - 8300,"NB: A compulsory briefing / clarification meeting will be held on 07 October 2025 at 10:00 at the offices of FBDM: 51 Drakensberg Avenue, Carters Glen, Kimberley. For all compulsory site/briefing sessions, all bidders must assemble at the reception area at the stated time from where they will be escorted to the relevant room where the compulsory briefing meeting will be held. Late service providers who are not at the reception area at the stated time will not be allowed into the compulsory briefing meeting and will be prohibited from submitting proposals.",Mr. C. Jones,eric.tlhageng@fbdm.co.za,053-838-0925,,,2025-10-01 12:36:49.892+00,1,1,2025-10-07 10:00:00+00,"Frances Baard District Municipal Offices, 51 Drakensberg Avenue, Carters Glen, Kimberley",,,02cd46ea-6877-4cc5-8abe-45651babde3a,2025-10-01 12:36:50.415366+00
WTE-0400 CS,SUPPLY AND DELIVERY ELECTRICAL HIGH-FREQUENCY INTERNAL CONCRETE VIBRATORS FOR CLANWILLIAM DAM IN THE WESTERN CAPE FOR DWS CONSTRUCTION SOUTH.,,45910,45932,CONSTRUCTION,,RFQ,Western Cape,CLANWILLIAM - CLANWILLIAM - CLANWILLIAM -,DATE: 17 SEPTEMBER 2025 VENUE: MASKAMSIG HALL IN VAN RHYNSDORP CO-ORDINATES: 18°35’48.4’’S and 18°45’06.5’’E TIME: 09:00 TILL 10:00 DATE: 17 SEPTEMBER 2025 VENUE: VREDENDAL NORTH COMMUNITY HALL CO-ORDINATES: LATITUDE. -31.64456° and LONGTITUDE. 185255° TIME: 12:00 TILL 13:00 DATE: 18 SEPTEMBER 2025 VENUE: CEDERBERG MUNICIPAL CHAMBERS CITRUSDAL CO-ORDINATES: 32°35’22.2’’S and 19°00’53’’E TIME: 09:00 TILL 10:00 DATE: 18 SEPTEMBER 2025 VENUE: DWS CONSTRUCTION SOUTH CLANWILLIAM DAM TRAINING CENTRE CO-ORDINATES: 32°11’5’’S and 18°52’1’’E TIME: 12:00 TILL 13:00,B CROUS,crousb@dws.gov.za,021-872-0591,,,2025-09-10 12:58:25.046+00,1,1,,see in special conditions below,,,04b3bb23-153e-4f62-aba7-c435ecf6f64c,2025-09-10 12:58:25.346744+00
KZNB02/DSD/2025/26,ESTABLISHMENT OF A PANEL OF SERVICE PROVIDERS TO PROVIDE CLEANING SERVICE FOR THE DEPARTMENT OF SOCIAL DEVELOPMENT KWAZULU - NATAL FOR A PERIOD OF SIXTY (60) MONTHS,,45973,46003,CLEANING,,RFQ,KwaZulu-Natal,208 Hoosen Haffejee - Pietermaritzburg - Pietermaritzburg - 3201,,Ms. L.T Dandile,thandeka.dandile@kzndsd.gov.za,033-897-9908,,,2025-11-12 12:04:44.715+00,1,1,2025-11-26 10:00:00+00,https://teams.microsoft.com/l/meetup-join/19%3ameeting_NDg0MGMyNDMtYzA0Ni00YjdiLTkwYTctOWZiMGNkYTQwN,,,05828357-4e80-491f-ab66-906cd082ee36,2025-11-12 12:04:46.708662+00
